Date,State,Company,Stock_Price,Volume,Market_Cap,P_E_Ratio,EPS,Revenue,Profit,Debt,Equity,Dividend_Yield,Sector,Open_Price,Close_Price,High_Price,Low_Price,Trading_Day,Exchange
2021-01-01,Florida,Tesla,1191.7111887908827,921396.0,263407065595.15405,43.59366411780596,21.427480918657285,9754407460.245853,1184743052.523808,558876434.323062,1774680862.5373588,3.1807240421961596,Finance,256.3314892570771,82.64932530196945,449.1529950231134,,Yes_,NYSE
2021-01-02,Illinois,Amazon,708.8008634480999,284816.0,767511898338.1145,78.24864517326121,48.10268497123288,8721596451.728891,1776745213.160824,176583572.39580387,962665859.2822955,2.683442059313865,Finance,52.77777395954863,284.535020709166,387.65709540509465,522.6861632206048,No,NASDAQ
2021-01-03,Texas,Google,963.858468211429,793244.0,926738888332.9832,,36.17276027164412,8618289946.282928,1282940472.6276345,610400733.1449745,4094834943.8005786,,Tech,272.2157129732975,556.7362866518001,489.86951473226753,183.44015944173452,Yes,NASDAQ
2021-01-04,Illinois,,410.1562326776509,228693.0,484207132323.6471,94.950042408414,32.26370141612792,9338246350.056013,1332372462.250309,263595090.33948362,1815580292.715695,1.1754855763537613,Finance,,,1317.4892728104264,354.7294393104067,Yes,NYSE
2021-01-05,Illinois,Microsoft,1072.9182039110551,522393.0,,49.42095010738284,36.44480659008044,8939628653.264917,2021020251.7199845,231039908.0001946,971685434.8221976,4.391887098477997,Tech,1238.308527039108,1383.6773140621253,801.1269271856046,,No_,NASDAQ
2021-01-06,New York,Microsoft,670.0219338698391,1654.0,789156178810.9918,88.11924353225378,23.957041239029255,7763040358.51891,3509307367.7020354,399240846.9123922,1825487879.0465999,2.6570762020402716,Energy!,330.47344114170124,340.9346515358439,278.932858307435,468.2975112389054,Yes,NYSE
2021-01-07,Texas,Apple,691.690996481381,579921.0,682103712290.6661,82.02867076941574,25.31080124230353,7183010048.786111,194118739.7023226,,1072849582.7931906,3.017496474858504,Healthcare,167.2652755788754,1102.1525930778087,1172.997286562784,,Yes,NYSE
2021-01-08,Texas,Apple,991.5173706364784,18143.0,888863731266.5221,98.1936987658749,42.57524853369272,2648406970.2737985,4785625266.008232,,2597286744.2879214,0.4497193562741725,Energy,1107.7955877320146,,352.2572061627537,1150.1200745952654,Yes,NASDAQ
2021-01-09,Texas,Google,1407.6069011299437,581222.0,692821498748.4318,,34.07833397851079,6213778874.263064,231494769.45828858,244810003.78725705,3341480101.749882,1.547544793811158,Tech,61.83593161296325,122.27184262720307,648.0904148748815,,No,NYSE
2021-01-10,Illinois,Amazon,142.80920258250035,330478.0,244284810560.63675,90.32176429772348,44.87244192706292,5215364728.437189,4406277784.404604,891127562.7859309,3997806930.2582097,2.1336766833604726,Finance,1114.5350479527528,588.9731363829551,873.7099379093995,335.64631150151104,No,NYSE_
2021-01-11,Florida_,Microsoft,1245.877694153161,628751.0,931727590509.26,74.50241234934948,44.552255003356,8619578971.71833,4471901056.000118,109970981.53822751,,2.0695476171800973,Healthcare,240.11999200697787,754.8069235305587,897.4422263580794,569.0530788481519,Yes,
2021-01-12,Texas,Google,473.95551009768,126851.0,105730911458.78532,39.86482399048097,48.82685269880803,4917634022.32723,,39563616.31802787,834853333.1216571,3.8914218308922894,Finance,381.01334007313505,1017.9824788576476,150.09656893554347,1127.322766315373,No,NYSE
2021-01-13,Illinois,,693.6832090342479,554375.0,268674807356.74103,15.081914763665731,35.04071147638218,1278299892.6633482,685070443.4119754,602745998.7792569,98115144.13401127,1.41161198745004,Energy,224.10137078764282,477.612418220943,1263.366512969412,664.8900743099779,Yes,NYSE
2021-01-14,New York,Google,81.77432672376298,667978.0,520674413116.1617,70.42127996511705,25.16485571132093,50719880.73816939,2825773338.1876636,123494827.34866992,1140516032.9593785,0.9105463117153301,Tech,408.640327724522,1404.037012128999,745.1746019099,411.82988680800594,Yes,NYSE
,Florida,Microsoft,486.5168128597539,795878.0,,97.97213772710667,8.39895384043321,6779053331.566183,3143197936.2982583,504940325.1975332,119624371.95373142,2.913086257311266,Healthcare,1207.3551107696026,705.2246322203209,1484.4280145909443,669.7468768506311,Yes,NASDAQ
2021-01-16,New York,Apple,778.8153018136892,,16295276040.278526,74.02742154652755,35.29848992640613,5499533962.884488,4288809013.1397758,,1727436471.0249279,3.0750742918354126,Healthcare,242.18895243135984,410.3679549695994,1090.2914915240087,709.4696971398566,Yes,NYSE
2021-01-17,Florida,Apple,131.45531215378656,312011.0,,93.22929008134687,14.649728066320542,3310298080.6801248,2754521789.3102717,698610413.4256449,728550874.8413001,0.6079165354312044,Tech,1491.5401668256243,508.82072650850915,1489.2249112116813,479.7469469267199,No,NASDAQ
2021-01-18,Illinois,,762.0888076055894,445244.0,362245711106.9641,81.40894773077409,14.219083645062828,,2053605908.5771008,617494834.7397206,2899520001.579098,0.012342514929979953,Tech,524.2917753417983,1140.233871497498,707.5391096944088,1493.7433793299065,Yes,NYSE
2021-01-19,California,Tesla,1394.3104118447195,847533.0,407012122461.1357,20.49589413608448,11.990560044758597,4667686508.716618,4191472140.151184,574847744.3497934,1918695424.7804165,4.588245400109294,Healthcare,1386.853781987077,978.4137829831168,254.1330404989831,1163.057727388553,No,NYSE
2021-01-20,Florida,Amazon,202.82016625631758,159272.0,809560174892.5088,28.674358206172293,,1003764438.3165777,4904760891.58336,179621298.27437282,468017346.8196907,0.39818498556667026,Energy,,1126.158131096381,1104.598596692988,1054.059731083435,No,NASDAQ_
2021-01-21,nan_,Tesla,1158.4390557094812,227179.0,379904108335.817,,,3361748783.72221,3225551515.4691505,432704559.84564155,1999392328.5366669,4.489334659710001,,322.4514039193825,473.89564671530474,1177.7524096005186,1289.557127626709,Yes,NASDAQ
2021-01-22,Illinois,Google,644.0230273951893,875506.0,48177651618.26006,20.98474221211039,31.5854251990159,3792739850.450108,4371947747.810317,342589255.01602584,1046819645.0276613,1.9960743719320555,Finance,869.736740412457,523.9304968301394,1286.611138429619,1016.3078338598967,Yes,NYSE
2021-01-23,Florida,Google,1000.0018860602902,717825.0,177263330699.87997,60.25687660393564,,4656721329.684784,2993715690.634038,953079014.7898405,3400918738.9653935,3.265279539975335,Healthcare,123.370123111783,625.2427189986383,487.1010871291505,1196.9214974299125,Yes,NYSE
2021-01-24,,Microsoft,427.3430670785826,503716.0,955947269215.7942,97.66779979282038,33.63851155893007,,3448970978.2523875,242395999.34758794,1822244780.2292223,0.9280734535319812,Tech!,1211.4542015716097,323.4598478177558,790.4917769672242,,Yes,NASDAQ
2021-01-25,California,Tesla,281.2637806849695,218508.0,71334957040.11165,77.33858917643506,30.400749569889697,,3440866771.0328393,471569219.7589118,735235343.074809,4.119585139137445,Tech,,1052.0145901575597,1293.3830813725772,775.5390663685253,No,NASDAQ
2021-01-26,Texas,Microsoft,,643710.0,355576269767.0482,45.22174116140888,20.84513899133703,8502259605.038274,3523964455.5026426,938085555.3399224,1748073701.8481927,0.9009669344993715,Tech,1063.834886361639,527.5567954128805,1303.8675430872538,118.14475578913161,No_,NASDAQ
